"Day","Tierkidi sim","Tierkidi data","Tierkidi error","Kakuma sim","Kakuma data","Kakuma error","Khartoum sim","Khartoum data","Khartoum error","West_Kordofan sim","West_Kordofan data","West_Kordofan error","Adjumani sim","Adjumani data","Adjumani error","Rhino sim","Rhino data","Rhino error","Kiryandongo sim","Kiryandongo data","Kiryandongo error","Total error","refugees in camps (UNHCR)","total refugees (simulation)","raw UNHCR refugee count","refugees in camps (simulation)","refugee_debt"
104,1226,23092,0.946908020094,20385,30503,0.331705078189,230,9966,0.976921533213,4404,2236,0.969588550984,21824,66035,0.669508593927,14151,8934,0.583948959033,5448,16530,0.670417422868,0.689905303030303,158400,158400,158400,73655,0
105,1276,23837,0.946469773881,20711,30984,0.331558223599,242,10102,0.976044347654,4497,2236,1.01118067979,22133,66516,0.667252991761,14158,8931,0.585264807972,5530,16741,0.669673257273,0.690184641653113,160473,160473,160473,74653,0
106,1337,24582,0.945610609389,21027,31198,0.326014488108,248,10238,0.975776518851,4589,2236,1.0523255814,22452,66998,0.664885518971,14171,8929,0.587075820361,5606,16951,0.669282048257,0.689992605373429,162280,162280,162280,75658,0
107,1401,25327,0.944683539306,21347,31542,0.323219833872,255,10374,0.975419317525,4709,2236,1.10599284436,22763,67152,0.661022754348,14175,8926,0.58805736052,5707,17063,0.665533610737,0.689099844327096,163805,163805,163805,76713,0
108,1464,26072,0.943847806075,21637,31612,0.315544729849,266,10511,0.974693178575,4808,2236,1.15026833631,23084,67306,0.657029091017,14175,8924,0.588413267593,5795,17175,0.662590975255,0.687741958935896,165059,165059,165059,77717,0
109,1522,26817,0.943244956557,21894,31472,0.304334011185,269,10647,0.974734667042,4899,2236,1.19096601073,23382,67460,0.65339460421,14177,8921,0.589171617532,5888,17286,0.65937753095,0.686351595424443,166100,166100,166100,78649,0
110,1581,27562,0.942638415209,22169,32055,0.308407424739,280,10783,0.974033200408,5006,2236,1.23881932021,23694,67614,0.64956961576,14181,8919,0.58997645476,5977,17398,0.656454764916,0.6861484755698,167866,167866,167866,79625,0
111,1642,28307,0.941993146572,22455,32193,0.302488118535,290,10919,0.973440791281,5106,2236,1.28354203936,24018,67768,0.645584936843,14169,8916,0.589165545087,6062,17510,0.653797829812,0.684861631577081,169186,169186,169186,80595,0
112,1708,29052,0.941208866859,22716,32251,0.295649747295,299,11056,0.972955861071,5220,2236,1.33452593918,24318,67922,0.64197167339,14177,8914,0.59041956473,6126,17622,0.652366360232,0.684183350153731,170428,170428,170428,81560,0
113,1772,29797,0.940530925932,22988,32318,0.288693607278,307,11192,0.972569692638,5318,2236,1.37835420394,24625,68076,0.638271931371,14182,8911,0.591516103692,6204,17733,0.650143799695,0.683246347771383,171676,171676,171676,82533,0
