name,lat,lon,region,country,conflict_date,population,location_type
920120344,50.4715002,3.2280961,xyz,xyz,0,0,town
955799847,50.6127294,3.3274731,xyz,xyz,0,0,town
970448333,50.8099056,3.2497427,xyz,xyz,0,0,town
976461969,50.6510335,3.2939939,xyz,xyz,0,0,town
976462036,50.6491146,3.2972779,xyz,xyz,0,0,town
986522561,50.8744879,3.4497733,xyz,xyz,0,0,town
1000791365,50.4690177,3.2321957,xyz,xyz,0,0,town
1000791502,50.4734207,3.2241126,xyz,xyz,0,0,town
1000791538,50.4728285,3.2246041,xyz,xyz,0,0,town
1000791563,50.4725559,3.2278992,xyz,xyz,0,0,town
1000791691,50.4722835,3.2289737,xyz,xyz,0,0,town
1000791695,50.4693117,3.2280239,xyz,xyz,0,0,town
1000791699,50.4724215,3.2272477,xyz,xyz,0,0,town
1000791757,50.4728239,3.2305735,xyz,xyz,0,0,town
1000791818,50.4724558,3.229153,xyz,xyz,0,0,town
1013404747,50.6287351,3.3625758,xyz,xyz,0,0,town
1013404829,50.6279222,3.3629643,xyz,xyz,0,0,town
1031422113,50.7186289,3.2978108,xyz,xyz,0,0,town
1031422131,50.7183587,3.2952684,xyz,xyz,0,0,town
1032132268,50.6469676,3.2971367,xyz,xyz,0,0,town
1032132290,50.6490779,3.2944111,xyz,xyz,0,0,town
1032132293,50.6496183,3.2932287,xyz,xyz,0,0,town
1032198788,50.6293124,3.415847,xyz,xyz,0,0,town
1032199335,50.6097235,3.303836,xyz,xyz,0,0,town
1033053455,50.8440548,3.2241531,xyz,xyz,0,0,town
1033053697,50.8413711,3.2239677,xyz,xyz,0,0,town
1033053828,50.8414037,3.2237868,xyz,xyz,0,0,town
1033062053,50.8339004,3.2176434,xyz,xyz,0,0,town
1033218399,50.7183044,3.2960594,xyz,xyz,0,0,town
1036605296,50.8173004,3.2951971,xyz,xyz,0,0,town
1036605303,50.8190513,3.2962794,xyz,xyz,0,0,town
1036605321,50.8191807,3.2963237,xyz,xyz,0,0,town
1036605331,50.8190202,3.2967605,xyz,xyz,0,0,town
1036622717,50.8079677,3.2486063,xyz,xyz,0,0,town
1036622719,50.8098133,3.2491483,xyz,xyz,0,0,town
1036622742,50.8050648,3.263286,xyz,xyz,0,0,town
1036622744,50.8082794,3.248929,xyz,xyz,0,0,town
1036622751,50.8097275,3.2491551,xyz,xyz,0,0,town
1036622757,50.8085801,3.2489865,xyz,xyz,0,0,town
1036622760,50.7991336,3.2498052,xyz,xyz,0,0,town
1037086055,50.8530675,3.2507628,xyz,xyz,0,0,town
1037086093,50.8521167,3.2507516,xyz,xyz,0,0,town
1080776193,50.6220311,3.4236874,xyz,xyz,0,0,town
1080776503,50.6334486,3.4173149,xyz,xyz,0,0,town
1080776767,50.6321911,3.4165062,xyz,xyz,0,0,town
1080777008,50.6359588,3.4227047,xyz,xyz,0,0,town
1080777044,50.6332699,3.4169859,xyz,xyz,0,0,town
1080777070,50.635066,3.4173925,xyz,xyz,0,0,town
1080777264,50.6325007,3.416781,xyz,xyz,0,0,town
1080777339,50.6322838,3.4169625,xyz,xyz,0,0,town
1080777348,50.6390089,3.4292148,xyz,xyz,0,0,town
1081240671,50.7303235,3.2911846,xyz,xyz,0,0,town
1081813530,50.8313562,3.2150686,xyz,xyz,0,0,town
1081848595,50.8262895,3.2172831,xyz,xyz,0,0,town
1081848807,50.8332467,3.2168001,xyz,xyz,0,0,town
1087986334,50.5807239,3.4783371,xyz,xyz,0,0,town
1087986662,50.5806609,3.4806552,xyz,xyz,0,0,town
1087987093,50.5770496,3.482495,xyz,xyz,0,0,town
1088016558,50.5520682,3.5125238,xyz,xyz,0,0,town
1088016641,50.5532481,3.513751,xyz,xyz,0,0,town
1088207313,50.5999046,3.4340125,xyz,xyz,0,0,town
1088207356,50.6007984,3.4390868,xyz,xyz,0,0,town
1088207401,50.6006577,3.4359736,xyz,xyz,0,0,town
1088207544,50.5999339,3.4450199,xyz,xyz,0,0,town
1088207558,50.6014426,3.4332596,xyz,xyz,0,0,town
1088207663,50.6020823,3.4403405,xyz,xyz,0,0,town
1088207936,50.6007205,3.4396271,xyz,xyz,0,0,town
1088208207,50.6046741,3.4322733,xyz,xyz,0,0,town
1088254599,50.5978309,3.4446875,xyz,xyz,0,0,town
1088255762,50.5980051,3.4414334,xyz,xyz,0,0,town
1088255836,50.6020917,3.440525,xyz,xyz,0,0,town
1097898955,50.813744,3.2652678,xyz,xyz,0,0,town
1100524592,50.5394418,3.5770477,xyz,xyz,0,0,town
1100524836,50.5381805,3.5838922,xyz,xyz,0,0,town
1100524851,50.539105,3.5781141,xyz,xyz,0,0,town
1102414764,50.8173184,3.1259922,xyz,xyz,0,0,town
1102414768,50.8161334,3.1273011,xyz,xyz,0,0,town
1102431447,50.4669727,3.7459266,xyz,xyz,0,0,town
1149482462,50.8184913,3.2982211,xyz,xyz,0,0,town
1264966813,50.8298891,3.2930231,xyz,xyz,0,0,town
1264999074,50.8501465,3.2342282,xyz,xyz,0,0,town
1264999107,50.8533663,3.2462483,xyz,xyz,0,0,town
1264999115,50.8502458,3.2341717,xyz,xyz,0,0,town
1265021753,50.8124193,3.2748683,xyz,xyz,0,0,town
1265021783,50.8117879,3.2747094,xyz,xyz,0,0,town
1265021790,50.811666,3.2756491,xyz,xyz,0,0,town
1265021802,50.8119037,3.2747455,xyz,xyz,0,0,town
1265060126,50.8501258,3.3784405,xyz,xyz,0,0,town
1265091028,50.7844951,3.2225453,xyz,xyz,0,0,town
1269637886,50.7523078,3.1464228,xyz,xyz,0,0,town
1269647021,50.7606039,3.1586073,xyz,xyz,0,0,town
1269647073,50.7602709,3.1599936,xyz,xyz,0,0,town
1309478550,50.5102233,3.6689219,xyz,xyz,0,0,town
1309478588,50.5103754,3.6640667,xyz,xyz,0,0,town
1309478601,50.5091523,3.6670879,xyz,xyz,0,0,town
1309478619,50.5104845,3.6646804,xyz,xyz,0,0,town
1323517594,50.5381771,3.5833735,xyz,xyz,0,0,town
1323546123,50.5339018,3.602477,xyz,xyz,0,0,town
1323546126,50.5336005,3.6018828,xyz,xyz,0,0,town
1323546210,50.535269,3.6030047,xyz,xyz,0,0,town
1323546449,50.5349768,3.6024542,xyz,xyz,0,0,town
1347883328,50.615537,3.3322792,xyz,xyz,0,0,town
