osm_id,osm_type,capacity,isced_level,amenity,name,longitude,latitude,geom_type
"9705442592",nodes,,,school,Gopalpur Azgor Ali High School,89.4313061,23.9133257,POINT
"9705295959",nodes,,,school,Mathura Pur High School,89.4244052,23.9413782,POINT
"9705250760",nodes,,,school,Tarabaria JM Govt Primary School,89.3958178,23.9510869,POINT
"9705295956",nodes,,,school,Natunbazar High School,89.3714088,23.9498573,POINT
"9705192968",nodes,,,school,"Police Lines School, Pabna",89.229934,23.9996325,POINT
"9705192966",nodes,,,school,41 No. Cahr Ghoshpur Govt. Primary School,89.2038803,23.9917,POINT
"9705295962",nodes,,,school,Hoyzor Santipur Sobed Ali Mozior Udden Junior High School,89.4753498,23.9641174,POINT
"9705295961",nodes,,,school,Jahanara Kanchon Smrity High School,89.4692181,23.96159,POINT
"9705295540",nodes,,,school,Kadim Malonchi High School,89.6075652,23.8890139,POINT
"9706383726",nodes,,,school,Uttar Chandpur High School,89.2003343,23.8177323,POINT
"9591980487",nodes,,,school,Meghna High School,89.3487682,23.8037571,POINT
"9591980483",nodes,,,school,Patikabari Mohammad Ali Khan High School,89.3762173,23.8738005,POINT
"9591980486",nodes,,,school,Jashai High School,89.3772149,23.8348394,POINT
"9706383725",nodes,,,school,Gorai High School,89.2247342,23.8290079,POINT
"9706383722",nodes,,,school,Enayetpur High School,89.2442852,23.8112875,POINT
"5149375039",nodes,,,school,Dulai Government Primary School দুলাই সরকারি প্রাথমিক বিদ্যালয়,89.5250213,23.9542707,POINT
"9705295963",nodes,,,school,Dulai High School,89.522598,23.9543345,POINT
"9591980484",nodes,,,school,Al-Haj Shahabuddin Ahmed Adarsha Accadamy,89.4105553,23.846042,POINT
"9705354305",nodes,,,school,Kadoa Junior High School,89.4531674,23.8941325,POINT
"9706383724",nodes,,,school,Chourangi Secondary School,89.2181594,23.8106269,POINT
"9579031926",nodes,,,school,Andulia Govt. Primary School,88.9271076,23.2338978,POINT
"9579063806",nodes,,,school,Borobari Govt Primary School,88.9043893,23.2579758,POINT
"9586150761",nodes,,,school,Borni Govt Primary School,88.9229664,23.2671995,POINT
"9579063786",nodes,,,school,Andarkota Govt. Primary School,88.9940372,23.2787406,POINT
"9579063787",nodes,,,school,Hazrakhana Dhakil Madrasa,88.9986335,23.2872411,POINT
"5223651821",nodes,,,college,BAGDA GOVT. ITI,88.8481395,23.1941423,POINT
"9579063783",nodes,,,school,Sara Pailot School,89.0178573,23.2602914,POINT
"9590420499",nodes,,,school,Chowgachha Kamil madrasa,89.0191371,23.2622081,POINT
"9590532216",nodes,,,school,Govt Primary School,89.0027882,23.2421113,POINT
"9602996998",nodes,,,school,Govt Primary School,88.9873329,23.3320967,POINT
"9603778653",nodes,,,school,High School,88.9961342,23.4032993,POINT
"9586300332",nodes,,,school,High School,89.0300482,23.3130678,POINT
"9586300331",nodes,,,school,patibila Govt Primary School,89.0293734,23.296318,POINT
"9586300349",nodes,,,school,Govt Primary School,89.0573601,23.2714427,POINT
"9586300351",nodes,,,school,Maruya High School,89.0834012,23.2760423,POINT
"9586424192",nodes,,,school,Pashapole Govt Primary School,89.0551851,23.2001851,POINT
"6039679851",nodes,,,kindergarten,Shuvo Biddaniketon Kinder Garden,89.8130152,22.3409465,POINT
"5856952295",nodes,,,school,174 No. Sutalori Shajahania Govt. Primary School,89.7916393,22.4378716,POINT
"6039679854",nodes,,,school,Amra Gachia Govt Primary School,89.8101935,22.3335136,POINT
