LGA,State,Geopolitical zone, Total killed , # of incidents with killing , Total civilians killed ,Christians,Muslims,ATR,Unknown, Security Forces , Terror Groups ,Index
Ogbomosho South,Oyo,South West,1,1,1, -   , -   , -   ,1, -   , -   , Ogbomosho SouthOyoSouth West 
Ogo Oluwa,Oyo,South West,3,1,3, -   , -   , -   ,3, -   , -   , Ogo OluwaOyoSouth West 
Ogoja,Cross River,South South,4,2,4,1, -   , -   ,3, -   , -   , OgojaCross RiverSouth South 
Ogori/Magongo,Kogi,North Central,1,1,1, -   , -   , -   ,1, -   , -   , Ogori/MagongoKogiNorth Central 
Ogu/Bolo,Rivers,South South,1,1,1, -   , -   , -   ,1, -   , -   , Ogu/BoloRiversSouth South 
Ogun Waterside,Ogun,South West,1,1,1,1, -   , -   , -   , -   , -   , Ogun WatersideOgunSouth West 
Oguta,Imo,South East,99,24,68,65,1, -   ,2,11,20, OgutaImoSouth East 
Ohafia,Abia,South East,79,16,62,18, -   , -   ,44,13,4, OhafiaAbiaSouth East 
Ohaji/Egbema,Imo,South East,32,11,28,13, -   , -   ,15,3,1, Ohaji/EgbemaImoSouth East 
Ohaozara,Ebonyi,South East,1,1,1, -   , -   , -   ,1, -   , -   , OhaozaraEbonyiSouth East 
Ohaozara ,Ebonyi,South East,11,8,5,5, -   , -   , -   ,5,1, Ohaozara EbonyiSouth East 
Ohaukwu,Ebonyi,South East,96,8,92,30, -   , -   ,62, -   ,4, OhaukwuEbonyiSouth East 
Ohaukwu ,Ebonyi,South East,126,13,125,125, -   , -   , -   ,1, -   , Ohaukwu EbonyiSouth East 
Ohimini,Benue,North Central,7,4,7,2, -   , -   ,5, -   , -   , OhiminiBenueNorth Central 
Oji River,Enugu,South East,27,10,10,10, -   , -   , -   ,13,4, Oji RiverEnuguSouth East 
Ojo,Lagos,South West,46,28,30,4, -   ,3,23,3,13, OjoLagosSouth West 
Oju,Benue,North Central,71,8,71,34, -   , -   ,37, -   , -   , OjuBenueNorth Central 
Okehi,Kogi,North Central,5,4,2,1, -   , -   ,1,1,2, OkehiKogiNorth Central 
Okene,Kogi,North Central,25,15,19,8,4,2,5,3,3, OkeneKogiNorth Central 
Okigwe,Imo,South East,32,12,24,18, -   , -   ,6,8, -   , OkigweImoSouth East 
Okitipupa,Ondo,South West,7,2,6,6, -   , -   , -   , -   ,1, OkitipupaOndoSouth West 
Okobo,Akwa Ibom,South South,2,1,2, -   , -   , -   ,2, -   , -   , OkoboAkwa IbomSouth South 
Okpe,Delta,South South,12,8,10,4, -   , -   ,6,2, -   , OkpeDeltaSouth South 
Okpokwu,Benue,North Central,77,10,76,76, -   , -   , -   , -   ,1, OkpokwuBenueNorth Central 
Okrika,Rivers,South South,8,3,4,1, -   , -   ,3, -   ,4, OkrikaRiversSouth South 
Olamaboro,Kogi,North Central,1,1,1, -   , -   , -   ,1, -   , -   , OlamaboroKogiNorth Central 
Olorunda,Osun,South West,1,1,1,1, -   , -   , -   , -   , -   , OlorundaOsunSouth West 
Omala,Kogi,North Central,26,10,26,13,1, -   ,12, -   , -   , OmalaKogiNorth Central 
Omumma,Rivers,South South,1,1,1, -   , -   , -   ,1, -   , -   , OmummaRiversSouth South 
Ondo East,Ondo,South West,5,4,5,2, -   ,1,2, -   , -   , Ondo EastOndoSouth West 
Ondo West,Ondo,South West,17,8,17,14, -   , -   ,3, -   , -   , Ondo WestOndoSouth West 
Onicha,Ebonyi,South East,24,8,24, -   ,1, -   ,23, -   , -   , OnichaEbonyiSouth East 
Onicha ,Ebonyi,South East,59,17,34,33, -   , -   ,1,12,13, Onicha EbonyiSouth East 
Onisha North,Anambra,South East,9,4,7, -   , -   , -   ,7,2, -   , Onisha NorthAnambraSouth East 
Onisha South,Anambra,South East,1,1,1, -   , -   , -   ,1, -   , -   , Onisha SouthAnambraSouth East 
Onitsha North,Anambra,South East,20,11,8,8, -   , -   , -   ,5,7, Onitsha NorthAnambraSouth East 
Onuimo,Imo,South East,14,4,12,12, -   , -   , -   ,2, -   , OnuimoImoSouth East 
Opobo/Nkoro,Rivers,South South,1,1, -   , -   , -   , -   , -   , -   ,1, Opobo/NkoroRiversSouth South 
Oredo,Edo,South South,117,57,80,18,1,3,58,4,33, OredoEdoSouth South 
Orelope,Oyo,South West,6,3,6,5,1, -   , -   , -   , -   , OrelopeOyoSouth West 
Orhionwon,Edo,South South,1,1,1, -   , -   , -   ,1, -   , -   , OrhionwonEdoSouth South 
Ori Ire,Oyo,South West,12,4,12,1, -   , -   ,11, -   , -   , Ori IreOyoSouth West 
Oriade,Osun,South West,2,2,2,2, -   , -   , -   , -   , -   , OriadeOsunSouth West 
Orlu,Imo,South East,114,31,89,56, -   , -   ,33,10,15, OrluImoSouth East 
Orolu,Osun,South West,2,2,2,1,1, -   , -   , -   , -   , OroluOsunSouth West 
Oron,Akwa Ibom,South South,5,2,4, -   , -   , -   ,4,1, -   , OronAkwa IbomSouth South 
Orsu,Imo,South East,27,15,21,11,3, -   ,7,1,5, OrsuImoSouth East 
Oru East,Imo,South East,42,12,13,6, -   , -   ,7,7,22, Oru EastImoSouth East 
Oru West,Imo,South East,6,4, -   , -   , -   , -   , -   ,3,3, Oru WestImoSouth East 
Oruk Anam,Akwa Ibom,South South,19,10,17,9, -   , -   ,8, -   ,2, Oruk AnamAkwa IbomSouth South 
Orumba North,Anambra,South East,20,6,17,4,9, -   ,4,3, -   , Orumba NorthAnambraSouth East 
Orumba South,Anambra,South East,23,7,2,1, -   , -   ,1,14,7, Orumba SouthAnambraSouth East 
Ose,Ondo,South West,42,18,35,24, -   , -   ,11,3,4, OseOndoSouth West 
Oshimili North,Delta,South South,43,16,29,6,11, -   ,12,8,6, Oshimili NorthDeltaSouth South 
Oshimili South,Delta,South South,35,19,24,9,1, -   ,14,8,3, Oshimili SouthDeltaSouth South 
Oshodi-Isolo,Lagos,South West,13,12,11,6,1, -   ,4,2, -   , Oshodi-IsoloLagosSouth West 
Osisioma Ngwa,Abia,South East,5,3, -   , -   , -   , -   , -   ,3,2, Osisioma NgwaAbiaSouth East 
Osogbo,Osun,South West,36,29,33,8,3,2,20, -   ,3, OsogboOsunSouth West 
Otukpo,Benue,North Central,128,12,127,122, -   , -   ,5, -   ,1, OtukpoBenueNorth Central 
Ovia North-East,Edo,South South,49,21,41,26, -   , -   ,15,3,5, Ovia North-EastEdoSouth South 
Ovia South-West,Edo,South South,5,3,2,1, -   , -   ,1, -   ,3, Ovia South-WestEdoSouth South 
Owan East,Edo,South South,11,3,11, -   , -   , -   ,11, -   , -   , Owan EastEdoSouth South 
Owan West,Edo,South South,13,7,13,7, -   , -   ,6, -   , -   , Owan WestEdoSouth South 
Owerri,Bayelsa,South South,1,1, -   , -   , -   , -   , -   ,1, -   , OwerriBayelsaSouth South 
Owerri Municipal,Imo,South East,41,25,23,9,1, -   ,13,14,4, Owerri MunicipalImoSouth East 
Owerri North,Imo,South East,20,10,10,5, -   , -   ,5,2,8, Owerri NorthImoSouth East 
Owerri West,Imo,South East,42,17,15,10,1, -   ,4,18,9, Owerri WestImoSouth East 
Owo,Ondo,South West,78,14,73,53,1, -   ,19, -   ,5, OwoOndoSouth West 
Oye,Ekiti,South West,4,4,4,3, -   , -   ,1, -   , -   , OyeEkitiSouth West 
Oyi,Anambra,South East,77,12,63,34,19, -   ,10,6,8, OyiAnambraSouth East 
Oyigbo,Rivers,South South,40,8,26, -   , -   , -   ,26,5,9, OyigboRiversSouth South 
Oyo East,Oyo,South West,1,1,1, -   ,1, -   , -   , -   , -   , Oyo EastOyoSouth West 
Oyo West,Oyo,South West,5,3,4, -   , -   , -   ,4,1, -   , Oyo WestOyoSouth West 
Oyun,Kwara,North Central,3,3,3, -   ,2, -   ,1, -   , -   , OyunKwaraNorth Central 
Paikoro,Niger,North Central,71,28,48,37,7, -   ,4,4,19, PaikoroNigerNorth Central 
Pankshin,Plateau,North Central,2,2,2,2, -   , -   , -   , -   , -   , PankshinPlateauNorth Central 
Patani,Delta,South South,1,1,1, -   , -   , -   ,1, -   , -   , PataniDeltaSouth South 
"Patani, Delta",Delta,South South,5,2,5,5, -   , -   , -   , -   , -   ," Patani, DeltaDeltaSouth South "
Patigi,Kwara,North Central,2,2,2, -   ,1, -   ,1, -   , -   , PatigiKwaraNorth Central 
Port Harcourt City,Rivers,South South,50,35,39,13,1, -   ,25,5,6, Port Harcourt CityRiversSouth South 
Port-Harcourt,Rivers,South South,9,2, -   , -   , -   , -   , -   ,9, -   , Port-HarcourtRiversSouth South 
Potiskum,Yobe,North East,1,1,1, -   , -   , -   ,1, -   , -   , PotiskumYobeNorth East 
Qua'an Pan,Plateau,North Central,5,3,1,1, -   , -   , -   , -   ,4, Qua'an PanPlateauNorth Central 
Rabah,Sokoto,North West,220,16,80,13,67, -   , -   ,24,116, RabahSokotoNorth West 
Rafi,Niger,North Central,605,96,240,98,65,1,76,59,306, RafiNigerNorth Central 
Rano,Kano,North West,1,1,1, -   , -   , -   ,1, -   , -   , RanoKanoNorth West 
Rano        ,Kano,North West,4,1,4, -   ,4, -   , -   , -   , -   , Rano        KanoNorth West 
Remo North,Ogun,South West,2,2,2,1, -   , -   ,1, -   , -   , Remo NorthOgunSouth West 
Rijau,Niger,North Central,46,13,40,17,11, -   ,12, -   ,6, RijauNigerNorth Central 
Rijau/Rafi,Niger,North Central,22,1,22,22, -   , -   , -   , -   , -   , Rijau/RafiNigerNorth Central 
Rimi,Katsina,North West,6,1, -   , -   , -   , -   , -   , -   ,6, RimiKatsinaNorth West 
Rimin Gado        ,Kano,North West,1,1,1, -   ,1, -   , -   , -   , -   , Rimin Gado        KanoNorth West 
Ringim,Jigawa,North West,4,4,2, -   ,1, -   ,1,2, -   , RingimJigawaNorth West 
Riyau,Niger,North Central,2,1,2,2, -   , -   , -   , -   , -   , RiyauNigerNorth Central 
Riyom,Plateau,North Central,158,75,153,132,9, -   ,12,2,3, RiyomPlateauNorth Central 
Rogo,Kano,North West,1,1,1, -   , -   , -   ,1, -   , -   , RogoKanoNorth West 
Rogo        ,Kano,North West,2,1,2, -   ,2, -   , -   , -   , -   , Rogo        KanoNorth West 
Roni,Jigawa,North West,1,1,1, -   ,1, -   , -   , -   , -   , RoniJigawaNorth West 
Sabon Birni,Sokoto,North West,558,56,359,29,177, -   ,153,44,155, Sabon BirniSokotoNorth West 
Sabon Gari,Kaduna,North West,18,12,17,9,1, -   ,7, -   ,1, Sabon GariKadunaNorth West 
Sabuwa,Katsina,North West,86,19,80,16,24, -   ,40, -   ,6, SabuwaKatsinaNorth West 
Safana,Katsina,North West,265,29,52,4,30, -   ,18,27,186, SafanaKatsinaNorth West 
Sagamu,Ogun,South West,60,19,26,7,2,11,6,10,24, SagamuOgunSouth West 
Sagbama,Bayelsa,South South,6,6,4,3, -   , -   ,1, -   ,2, SagbamaBayelsaSouth South 
Sakaba,Kebbi,North West,329,15,208,155,50, -   ,3,83,38, SakabaKebbiNorth West 
Saki East,Oyo,South West,2,1,2, -   , -   , -   ,2, -   , -   , Saki EastOyoSouth West 
Saki West,Oyo,South West,1,1,1, -   , -   , -   ,1, -   , -   , Saki WestOyoSouth West 
Sandamu,Katsina,North West,17,4,12, -   , -   , -   ,12, -   ,5, SandamuKatsinaNorth West 
Sanga,Kaduna,North West,55,11,48,2, -   , -   ,46,6,1, SangaKadunaNorth West 
Sapele,Delta,South South,10,6,6, -   , -   , -   ,6,2,2, SapeleDeltaSouth South 
"Sapele, Delta",Delta,South South,30,15,20,20, -   , -   , -   ,6,4," Sapele, DeltaDeltaSouth South "
Sardauna,Taraba,North East,46,3,35,24,11, -   , -   ,6,5, SardaunaTarabaNorth East 
Shagari,Sokoto,North West,1,1,1, -   ,1, -   , -   , -   , -   , ShagariSokotoNorth West 
Shanga,Kebbi,North West,8,3,8,1,2, -   ,5, -   , -   , ShangaKebbiNorth West 
Shani,Borno,North East,18,2,11,11, -   , -   , -   ,1,6, ShaniBornoNorth East 
Shanono        ,Kano,North West,3,2,3, -   ,3, -   , -   , -   , -   , Shanono        KanoNorth West 
Shelleng,Adamawa,North East,1,1, -   , -   , -   , -   , -   , -   ,1, ShellengAdamawaNorth East 
Shendam,Plateau,North Central,10,5,10,8,2, -   , -   , -   , -   , ShendamPlateauNorth Central 
Shinkafi,Zamfara,North West,279,33,90,7,21, -   ,62,20,169, ShinkafiZamfaraNorth West 
Shiroro,Niger,North Central,1498,171,986,571,291, -   ,124,180,332, ShiroroNigerNorth Central 
Shomolu,Lagos,South West,14,7,13,5,2,6, -   , -   ,1, ShomoluLagosSouth West 
Shongom,Gombe,North East,3,1,2,2, -   , -   , -   , -   ,1, ShongomGombeNorth East 
Silame,Sokoto,North West,1,1,1, -   , -   , -   ,1, -   , -   , SilameSokotoNorth West 
Sokoto North,Sokoto,North West,17,4,6, -   ,6, -   , -   ,1,10, Sokoto NorthSokotoNorth West 
Sokoto South,Sokoto,North West,24,3,23,23, -   , -   , -   ,1, -   , Sokoto SouthSokotoNorth West 
Somolu,Lagos,South West,2,2,2, -   , -   , -   ,2, -   , -   , SomoluLagosSouth West 
Song,Adamawa,North East,15,8,11,4, -   , -   ,7, -   ,4, SongAdamawaNorth East 
Southern Ijaw,Bayelsa,South South,23,10,15,1, -   , -   ,14,1,7, Southern IjawBayelsaSouth South 
Sule Takarkar,Jigawa,North West,3,2,3, -   , -   , -   ,3, -   , -   , Sule TakarkarJigawaNorth West 
Sule Tankarkar,Jigawa,North West,2,1, -   , -   , -   , -   , -   , -   ,2, Sule TankarkarJigawaNorth West 
Suleja,Niger,North Central,50,12,9,2, -   , -   ,7,32,9, SulejaNigerNorth Central 
Sumaila        ,Kano,North West,5,3,2,2, -   , -   , -   , -   ,3, Sumaila        KanoNorth West 
Surulere,Lagos,South West,16,10,16,6, -   ,1,9, -   , -   , SurulereLagosSouth West 
Surulere,Oyo,South West,1,1,1, -   ,1, -   , -   , -   , -   , SurulereOyoSouth West 
Tafa,Niger,North Central,7,3,7,3,4, -   , -   , -   , -   , TafaNigerNorth Central 
Tafawa-Balewa,Bauchi,North East,17,7,17,9,7, -   ,1, -   , -   , Tafawa-BalewaBauchiNorth East 
Tai,Rivers,South South,6,4,6,2, -   , -   ,4, -   , -   , TaiRiversSouth South 
Takai,Kano,North West,7,1,7, -   ,7, -   , -   , -   , -   , TakaiKanoNorth West 
Takai        ,Kano,North West,2,2,2, -   ,2, -   , -   , -   , -   , Takai        KanoNorth West 
Takum,Taraba,North East,462,40,420,407,8,3,2,13,29, TakumTarabaNorth East 
Talata Mafara,Zamfara,North West,191,27,148,8,100, -   ,40, -   ,43, Talata MafaraZamfaraNorth West 
Tangaza,Sokoto,North West,60,8,53,8,35, -   ,10, -   ,7, TangazaSokotoNorth West 
Tarka,Benue,North Central,29,2,29,29, -   , -   , -   , -   , -   , TarkaBenueNorth Central 
Tarmua,Yobe,North East,7,1, -   , -   , -   , -   , -   ,1,6, TarmuaYobeNorth East 
Tarmuwa,Yobe,North East,7,2,7,4, -   , -   ,3, -   , -   , TarmuwaYobeNorth East 
"Taura, Jigawa",Jigawa,North West,3,2,1, -   ,1, -   , -   ,2, -   ," Taura, JigawaJigawaNorth West "
Tofa        ,Kano,North West,1,1, -   , -   , -   , -   , -   , -   ,1, Tofa        KanoNorth West 
Toro,Bauchi,North East,11,6,7,1,6, -   , -   ,1,3, ToroBauchiNorth East 
TOTAL,,,55910,9970,30880,16769,6235,154,7722,4953,20077, TOTAL 
Toto,Nasarawa,North Central,53,20,36,9,10, -   ,17,1,16, TotoNasarawaNorth Central 
Toungo,Adamawa,North East,15,6,11,9, -   , -   ,2, -   ,4, ToungoAdamawaNorth East 
Tsafe,Zamfara,North West,277,37,143,7,102, -   ,34,8,126, TsafeZamfaraNorth West 
Tudun Wada        ,Kano,North West,31,4,25,7,18, -   , -   , -   ,6, Tudun Wada        KanoNorth West 
Tureta,Sokoto,North West,33,6,33,6,18, -   ,9, -   , -   , TuretaSokotoNorth West 
Udi,Enugu,South East,3,3,3,2,1, -   , -   , -   , -   , UdiEnuguSouth East 
Udu,Delta,South South,27,15,24, -   , -   , -   ,24,2,1, UduDeltaSouth South 
"Udu, Nigeria",Delta,South South,23,14,19,16,1, -   ,2, -   ,4," Udu, NigeriaDeltaSouth South "
Udung Uko,Akwa Ibom,South South,2,1, -   , -   , -   , -   , -   ,2, -   , Udung UkoAkwa IbomSouth South 
Ughelli North,Delta,South South,109,57,75,32,1, -   ,42,14,20, Ughelli NorthDeltaSouth South 
Ughelli South,Delta,South South,3,3,3,1, -   , -   ,2, -   , -   , Ughelli SouthDeltaSouth South 
Uhunmwode,Edo,South South,13,7,8, -   , -   , -   ,8, -   ,5, UhunmwodeEdoSouth South 
Uhunmwonde,Edo,South South,13,5,7,7, -   , -   , -   , -   ,6, UhunmwondeEdoSouth South 
Ukanafun,Akwa Ibom,South South,8,4,8,7, -   , -   ,1, -   , -   , UkanafunAkwa IbomSouth South 
Ukum,Benue,North Central,193,29,158,117,2, -   ,39,5,30, UkumBenueNorth Central 
Ukwa East,Abia,South East,2,1,2, -   , -   , -   ,2, -   , -   , Ukwa EastAbiaSouth East 
Ukwa West,Abia,South East,15,5,13,4,8, -   ,1,2, -   , Ukwa WestAbiaSouth East 
Ukwuani people,Delta,South South,20,9,7,3, -   , -   ,4,8,5, Ukwuani peopleDeltaSouth South 
Umu Nneochi,Abia,South East,3,1, -   , -   , -   , -   , -   , -   ,3, Umu NneochiAbiaSouth East 
Umuahia North,Abia,South East,9,8,6,2, -   , -   ,4,3, -   , Umuahia NorthAbiaSouth East 
Umuahia South,Abia,South East,7,3,1,1, -   , -   , -   ,2,4, Umuahia SouthAbiaSouth East 
Ungogo,Kano,North West,1,1,1, -   ,1, -   , -   , -   , -   , UngogoKanoNorth West 
Ungogo        ,Kano,North West,2,1, -   , -   , -   , -   , -   , -   ,2, Ungogo        KanoNorth West 
Uruan,Akwa Ibom,South South,10,3,10,6, -   , -   ,4, -   , -   , UruanAkwa IbomSouth South 
Ushongo,Benue,North Central,9,4,9,7, -   , -   ,2, -   , -   , UshongoBenueNorth Central 
Ussa,Taraba,North East,62,3,62,46,16, -   , -   , -   , -   , UssaTarabaNorth East 
Uvwie,Delta,South South,25,14,18,8, -   , -   ,10,3,4, UvwieDeltaSouth South 
Uyo,Akwa Ibom,South South,49,15,43,21,2, -   ,20, -   ,6, UyoAkwa IbomSouth South 
Uzo-Uwani,Enugu,South East,32,13,20,16, -   , -   ,4,6,6, Uzo-UwaniEnuguSouth East 
Vandeikya,Borno,North East,1,1,1,1, -   , -   , -   , -   , -   , VandeikyaBornoNorth East 
Vandeikya,Benue,North Central,1,1, -   , -   , -   , -   , -   , -   ,1, VandeikyaBenueNorth Central 
Wamako,Sokoto,North West,23,8,13, -   ,1, -   ,12, -   ,10, WamakoSokotoNorth West 
Wamba,Nasarawa,North Central,1,1,1, -   , -   , -   ,1, -   , -   , WambaNasarawaNorth Central 
Warji,Bauchi,North East,2,2,2, -   ,2, -   , -   , -   , -   , WarjiBauchiNorth East 
Warri North,Delta,South South,13,6,5,5, -   , -   , -   ,1,7, Warri NorthDeltaSouth South 
Warri South,Delta,South South,53,37,32,9, -   , -   ,23,5,16, Warri SouthDeltaSouth South 
Wasagu/Danko,Kebbi,North West,809,58,641,397,197,29,18,64,104, Wasagu/DankoKebbiNorth West 
Wase,Plateau,North Central,135,23,73,34,33, -   ,6,5,57, WasePlateauNorth Central 
Wudil,Kano,North West,10,2,10, -   ,10, -   , -   , -   , -   , WudilKanoNorth West 
Wukari,Taraba,North East,101,41,88,58, -   , -   ,30, -   ,13, WukariTarabaNorth East 
Wurno,Sokoto,North West,12,5,6,3,3, -   , -   , -   ,6, WurnoSokotoNorth West 
Wushishi,Niger,North Central,69,8,49,14,33, -   ,2,2,18, WushishiNigerNorth Central 
Yagba East,Kogi,North Central,27,4,25,10,13, -   ,2, -   ,2, Yagba EastKogiNorth Central 
Yagba West,Kogi,North Central,10,5,7,5,1, -   ,1,3, -   , Yagba WestKogiNorth Central 
Yakurr,Cross River,South South,38,10,37,20, -   , -   ,17,1, -   , YakurrCross RiverSouth South 
Yala,Cross River,South South,8,2,8,8, -   , -   , -   , -   , -   , YalaCross RiverSouth South 
Yamaltu-Deba,Gombe,North East,1,1,1, -   ,1, -   , -   , -   , -   , Yamaltu-DebaGombeNorth East 
Yankwashi,Jigawa,North West,1,1, -   , -   , -   , -   , -   , -   ,1, YankwashiJigawaNorth West 
Yauri,Kebbi,North West,8,3,7,6,1, -   , -   ,1, -   , YauriKebbiNorth West 
Yenagoa,Bayelsa,South South,81,49,65,21,2, -   ,42,3,13, YenagoaBayelsaSouth South 
Yewa North,Ogun,South West,47,18,43,18,1, -   ,24,1,3, Yewa NorthOgunSouth West 
Yewa South,Ogun,South West,8,6,6,4, -   , -   ,2,2, -   , Yewa SouthOgunSouth West 
Yola North,Adamawa,North East,15,11,13,3,6, -   ,4,1,1, Yola NorthAdamawaNorth East 
Yola South,Adamawa,North East,7,6,5,1,2, -   ,2, -   ,2, Yola SouthAdamawaNorth East 
Yola-North,Adamawa,North East,11,7,8,1, -   , -   ,7, -   ,3, Yola-NorthAdamawaNorth East 
Yola-South,Adamawa,North East,1,1,1, -   , -   , -   ,1, -   , -   , Yola-SouthAdamawaNorth East 
Yorro,Taraba,North East,21,2,21,21, -   , -   , -   , -   , -   , YorroTarabaNorth East 
Yunusari,Yobe,North East,51,12,17,2,1, -   ,14,24,10, YunusariYobeNorth East 
Zaki,Bauchi,North East,2,1,2, -   ,2, -   , -   , -   , -   , ZakiBauchiNorth East 
Zango,Katsina,North West,1,1,1, -   , -   , -   ,1, -   , -   , ZangoKatsinaNorth West 
Zangon Kataf,Kaduna,North West,1246,225,1232,1013,35,1,183,1,13, Zangon KatafKadunaNorth West 
Zaria,Kaduna,North West,58,31,44,4,37, -   ,3,2,12, ZariaKadunaNorth West 
Zurmi,Zamfara,North West,616,57,177,33,84, -   ,60,8,431, ZurmiZamfaraNorth West 
Zuru,Kebbi,North West,79,11,78,53,12,5,8,1, -   , ZuruKebbiNorth West 
,Imo,South East,364,4,284,256,28, -   , -   ,80, -   , ImoSouth East 
,Niger,North Central,141,14,91,30,10, -   ,51,11,39, NigerNorth Central 
,Kaduna,North West,68,8,53,51,2, -   , -   , -   ,15, KadunaNorth West 
,Zamfara,North West,46,3,43,6,37, -   , -   , -   ,3, ZamfaraNorth West 
,Anambra,South East,45,2,40,40, -   , -   , -   ,5, -   , AnambraSouth East 
,Benue,North Central,33,12,33,33, -   , -   , -   , -   , -   , BenueNorth Central 
,Nasarawa,North Central,32,1,32,32, -   , -   , -   , -   , -   , NasarawaNorth Central 
,Yobe,North East,10,3,10,10, -   , -   , -   , -   , -   , YobeNorth East 
,Borno,North East,18,8,8,8, -   , -   , -   ,10, -   , BornoNorth East 
,Oyo,South West,6,1,6,4,2, -   , -   , -   , -   , OyoSouth West 
,Katsina,North West,4,2,4,3,1, -   , -   , -   , -   , KatsinaNorth West 
,Taraba,North East,4,1,4,4, -   , -   , -   , -   , -   , TarabaNorth East 
,Plateau,North Central,3,2,3,3, -   , -   , -   , -   , -   , PlateauNorth Central 
,Sokoto,North West,3,1,3,1,2, -   , -   , -   , -   , SokotoNorth West 
,Kebbi,North West,2,1,2,1,1, -   , -   , -   , -   , KebbiNorth West 
,Abuja FCT,North Central,1,1,1,1, -   , -   , -   , -   , -   , Abuja FCTNorth Central 
,Bauchi,North East,1,1,1, -   ,1, -   , -   , -   , -   , BauchiNorth East 
,Rivers,South South,4,1, -   , -   , -   , -   , -   , -   ,4, RiversSouth South 
,Ebonyi,South East,3,1, -   , -   , -   , -   , -   ,2,1, EbonyiSouth East 
