,Day,Tierkidi sim,Tierkidi error,Pugnido sim,Pugnido error,Jewi sim,Jewi error,Kule sim,Kule error,Kakuma sim,Kakuma error,Khartoum sim,Khartoum error,West_Kordofan sim,West_Kordofan error,Adjumani sim,Adjumani error,Rhino sim,Rhino error,Kiryandongo sim,Kiryandongo error,Total error,refugees in camps (simulation),refugee_debt
85,85,-10,0.001052631578947416,-642,-0.8652291105121295,-14,0.0,0,0.0,-661,0.025238640702558213,-61,0.011436070491188555,-471,0.1415689810640216,-1309,0.02300850734725446,-759,-0.07879983388704326,-236,0.01798643396082622,0.010686398691657772,-4163,0
86,86,-13,0.0012632397240308624,-666,-0.8705882352941177,-16,0.0,0,0.0,-656,0.02468021068472548,-71,0.012694439477918817,-491,0.14758040276525397,-1341,0.023372956391396693,-822,-0.08457660253112452,-238,0.017996219281663395,0.010293677191544393,-4314,0
87,87,-13,0.0011729676080481921,-674,-0.8553299492385784,-19,0.0,0,0.0,-631,0.023386827767688412,-73,0.012474367737525638,-522,0.15689810640216406,-1352,0.023368766744447322,-803,-0.08188863960840287,-234,0.017555705604321403,0.010300648731601747,-4321,0
88,88,-13,0.0010947368421052595,-685,-0.8446362515413071,-19,0.0,0,0.0,-635,0.023295058512784683,-77,0.010772243984331409,-545,0.16381124135858127,-1361,0.023330362040592356,-792,-0.08005660568078432,-227,0.016898682349438032,0.01031177601792821,-4354,0
89,89,-14,0.001105321332701692,-710,-0.851318944844125,-20,0.0,0,0.0,-638,0.023110080776614583,-84,0.00994789199431545,-558,0.1677186654643823,-1378,0.023428600574663783,-806,-0.08149646107178965,-226,0.01656041620869053,0.010071580690960702,-4434,0
90,90,-18,0.0013374944271066225,-728,-0.8494749124854142,-25,0.0,0,0.0,-663,0.02374726888498868,-88,0.00903490759753578,-579,0.17403065825067632,-1408,0.023744477048129764,-826,-0.08354404773945578,-248,0.017890636271822302,0.01030011275912912,-4583,0
91,91,-19,0.0013333333333334085,-722,-0.8204545454545451,-29,0.0,0,0.0,-684,0.024161073825503365,-90,0.008154389779831406,-608,0.18274721971746327,-1425,0.02383740381398458,-835,-0.08447996762444344,-261,0.01854088229026085,0.010604401427107946,-4673,0
92,92,-20,0.0013296988232166518,-711,-0.7873754152823917,-33,0.0,0,0.0,-732,0.025534586807130166,-94,0.007621827616962729,-641,0.1926660655244965,-1483,0.024609614842103555,-864,-0.08743169398907114,-270,0.018891687657430767,0.011278039611349877,-4848,0
93,93,-21,0.0013263437124991784,-740,-0.7982740021574972,-35,0.0,0,0.0,-739,0.025548833189282583,-98,0.007190549563431015,-661,0.19867748722572887,-1545,0.02543544828948674,-888,-0.08988764044943817,-268,0.018473840215068593,0.011294655847978952,-4995,0
94,94,-24,0.001443609022556469,-755,-0.7947368421052632,-38,0.0,0,0.0,-783,0.026739976777542585,-105,0.007034704542409176,-689,0.20709347760745417,-1583,0.02585629583653193,-903,-0.09143377885783721,-277,0.018815378345333533,0.01169408537676142,-5157,0
95,95,-25,0.0014354616444648416,-780,-0.8016443987667008,-39,0.0,0,0.0,-779,0.026366559485530572,-108,0.007123070834981982,-695,0.20889690411782394,-1547,0.025071308180993124,-904,-0.09156284817178165,-287,0.019214032268862535,0.011233383680862241,-5164,0
