#name1,#name2,distance,forced_redirection
Ovia North East,Ovia South West,40.25,0
Ovia South West,Egor,42.73,0
Ovia South West,Oredo,60.11,0
Owan East,Owan West,38.02,0
Owan East,Akoko-Edo,50.19,0
Owan West,Ose,44.63,0
Owan West,Esan West,54.01,0
Uhunmwonde,Igueben,61.04,0
Uhunmwonde,Esan Central,54.73,0
Ado Ekiti,Irepodun/Ifelodun,11.9,0
Ado Ekiti,Ikere,14.04,0
Ado Ekiti,Ekiti,15.89,0
Gbonyin,Emure,26.7,0
Gbonyin,Ekiti East,27.66,0
Gbonyin,Ise/Orun,27.27,0
Efon,Ido,32.94,0
Efon,Odeda,31.36,0
Efon,Ibadan South West,29.22,0
Ekiti East,Akoko North West,25.64,0
Ekiti East,Ikole,32.4,0
Ekiti South West,Oriade,28.99,0
Ekiti South West,Ikere,43.53,0
Ekiti South West,Ifedore,27.61,0
Ekiti West,Ijero,16.56,0
Ekiti West,Ekiti South West,29.12,0
Ekiti West,Ado Ekiti,30.78,0
Emure,Ise/Orun,17.52,0
Emure,Akoko South West,30.76,0
Ido-Osi,Ilejemeje,15.52,0
Ido-Osi,Oye,26.02,0
Ido-Osi,Ijero,19.48,0
Ijero,Ifedayo,22.21,0
Ikere,Ise/Orun,33.64,0
Ikole,Oye,27.32,0
Ikole,Gbonyin,31.25,0
Ilejemeje,Moba,18.26,0
Ilejemeje,Oye,17.12,0
Irepodun/Ifelodun,Ekiti,4.04,0
Irepodun/Ifelodun,Ido-Osi,23.46,0
Ise/Orun,Akure North,60.43,0
Moba,Ido-Osi,19.58,0
Moba,Ifedayo,28.01,0
Oye,Ekiti,26.45,0
Aninri,Awgu,26.54,0
Aninri,Ohaozara,34.01,0
Awgu,Oji-River,23.57,0
Awgu,Nkanu West,28.6,0
Enugu East,Enugu North,16.9,0
Enugu East,Enugu South,23.58,0
Enugu East,Udi,30.22,0
Enugu North,Enugu South,7.28,0
Enugu North,Nkanu West,18.44,0
Enugu South,Nkanu West,13.5,0
Enugu South,Udi,24.47,0
Ezeagu,Udi,22.05,0
Ezeagu,Awka North,30.95,0
Ezeagu,Oji-River,44.52,0
Igbo-Etiti,Nsukka,21.88,0
Igbo-Etiti,Enugu East,53.77,0
Igbo-Etiti,Uzo-Uwani,37.39,0
Igbo-Eze North,Igbo-Eze South,16.38,0
Igbo-Eze North,Udenu,18.77,0
Igbo-Eze North,Nsukka,21.18,0
Igbo-Eze South,Nsukka,18.32,0
Igbo-Eze South,Udenu,30.35,0
Isi-Uzo,Udenu,26.87,0
Isi-Uzo,Enugu East,42.2,0
Isi-Uzo,Ogbadibo,58.26,0
Nkanu East,Nkanu West,18.4,0
Nkanu East,Enugu South,27.52,0
Nkanu East,Enugu North,32.24,0
Oji-River,Orumba North,31.44,0
Oji-River,Orumba South,30.12,0
Udenu,Nsukka,22.35,0
Udi,Enugu North,24.11,0
Uzo-Uwani,Ayamelum,41.1,0
Uzo-Uwani,Ezeagu,80.53,0
Abaji,Lapai,24.84,0
Abaji,Kwali,68.24,0
